,question_message_text,ans_message_text
49016,"I raise funds for WWF every year, it's a wildlife conservation NGO",Sorryy....🥲Haan you can watch...if you like Forest and wild life...and DFO
49017,Koi ko ni də rai,Mujhe bhi de dena
49018,😂😂😂 Karun kya bolun kya phir,Roo mat
49019,Kuch nhi😂,Hmm bolo
49020,Study aur aap,Karte kya ho ap
49021,Hi,Hey @ssb7h
49022,@MAHADEV_KI_GAURI 🥺,👩🏼 Nita GRS accepted ₱Ɽł₦₵Ɇ as his sister!
49023,Waha bahut kuch barbar lg raha,Ab aao
49024,Karne k like koi hain nahi,Haa bhai ye toh h😂 ky hi kr skte h
49025,Namany jg india,Jamet tikel lu
49026,Pas felan karnaro nadadan,Oh I don't know 😶
49027,kk aao party hai,Fir kya party 😂
49028,ooh good ...😅 so ab kkrh..😅🤘,No online classes
49029,Awww🥺😂😂😂😂,Aaj se ban gyi
49030,Link,Mene socha raste Me h Are real world aa na
49031,Naa kafi hai,Bs 4 ghante aur din mein
49032,Apki sister,Aap Kaun??😐
49033,🤔 really I think it's not u r real name,Umm It's one of the rare names
49034,Is he your wife's brother that you are calling him like that?😂🤣🤣,"LOL , SAALE MEANS KOI GAALI HAII ? @Smoker_Drunker  !!"
49035,Uhuh,U want kids?
49036,Lol which,inaam mila ?
49037,Mostly sbhi yaha jo hai😂,Ohh but I sleep too late😂
49038,so wassup,Yesh 🥰🥰
49039,Do not eat non veg.... don't take bath....no hard work....for two days,kkkkkkk any advice  after vaccination?
49040,Are you Robert?,Why doesn't McDonald's sell hotdogs?
49041,Kmmi,Ne rasmi yo
49042,Aapke baad mera nmbr..phele tum👀,Nhi😂 aapko lagenge aise
49043,ʜy,. Hy
49044,Want,Wanna chat 💬 ?
49045,"No, Jennifer Lopez",Your name Sameer
49046,Pareeee,tof kharkose
49047,Nice 👀Kya hall ?,Hn mai bhi aa gya
49048,Haha,Bhai dede pese
49049,Ins,For what no for fast or insta
49050,Kuch bhi nhi,Kya hui..
49051,so How i follow you ?please..😐send your page name,Sure you can
49052,I m just dekhing for someone to talk😅 tympass not hoing,Time pass you what karing
49053,It's okay.... :v,Ok there is no prob
49054,Kya ji,Batao na pooja ji
49055,😂😂😂,Nahi aunga me to 🤣
49056,Bi adabeshon konim?,Glad to meet you😍😍😍
49057,Why,Can u S M S me separately
49058,Han bank safe h,Bank to safe h na 😂
49059,Haa Bhai,Neet dongeClear bhi krna ha xam Yeha akr time waist kor raha ho mera tarah 😂😂
49060,😆😆😆 but I am,R u really single....U don't look like single.... Everyone is behind u
49061,Naam to sahi 🙄,Meko bhi😂😂😂
49062,Mtlbbb Gujarati.... Punjabi.....south indian aise,ye to sabko pasand hota h 🤔🤦🏻‍♂
49063,Ye,From mexico?
49064,Mp,I know but state
49065,Ur name ?,i m getting bored anybody above 19
49066,Me to... Alive 🥺Btw ye name yuhi likha h 🤔,Hmm u?
49067,Alykum asslamHow are you?,HloAsslamu Alykum
49068,Ikr!,yes why not ?
49069,Chal be,Am admin sir🙃🙃
49070,M? 🙄,Dr Sahb
49071,Yes,Glad to meet someone from Indore. Are you still living there?
49072,U given answer?,Maine book ni dekha five phase hote Jo Class 10th ki side book me hi Bhut achha se explain hota
49073,Mere sare coins gye 🥺😄,This b. ot is again here🥲
49074,Kiska tha,Sar dard ho gya aaj test de kai
49075,Mera to koi short name b nhi h,Like this
49076,Or kasi h,Han 😎😎😎😎
49077,Hai kuch,To phir kahe tension he
49078,"Huh,  i k this",Rone ki vajah se pani km ho jata he body me
49079,just try may be   i win😏,U cant😂
49080,Yes,I will not dear will you cook
49081,Vahi chalega ab to,BGMI 🙊
49082,Hmm,Ni Sachi first year k hisab se weight kam h
49083,& what was that?,🤦🏼‍♀️🤣🤣That was interesting
49084,Thik hai mariye aaj aap,Hn ek or maru gi 👊
49085,No,Muje laga app bhul gyi muje
49086,😂,Haan 😅😂
49087,Dekha laparvahi k natija,Jukham bukhar
49088,Hi Hows It Goin - What You Been Doin?,"Abhi to ghar wale hi de dete he,, road par aane ki jarurat nahi padi"
49089,Ha..apka ?,Thik hu ma be aap ka lunch hua
49090,Ok,That's I am asking
49091,Kya bhai,Ye me kya sun raha hu neha ji
49092,What?,E babat
49093,Apni pic daal le na koi,ok poochne ki kya baat  hi
49094,Koi na muje nahi chahiye meri trf se gift smj lo😂😂,Aree nhi hai tumhare paas dimaag rakh lo koi ni sharmao mat😂😂😂
49095,Delhi,Hm kha se ho ?
49096,Hmm 🥺🥺,Kya angrezi hai😂🤣
49097,👍👍ok,Tum. So jao ab
49098,Padhke chhod de,kya karun iska?😂
49099,Kya matalab,Bura lag gaya 😂😂
49100,Ohh.....,"thanks bro, but he always says me that"
49101,Instagram 🆔,I didn't understand your language bro
49102,Why not great I am good,Not grt jus Ok  u
49103,Unlimited,How many times have you typed laughing emoji while crying?
49104,Satta h satta,Yha bisi kch na kch game he chalta rehta h
49105,Godain sok,Hi om mw akoh godain gk
49106,not bad,How's mars
49107,Andromeda,Proxima Cent..
49108,Teri padosi hi hu,Kha se tu nurse😂
49109,Student,Me also 🙂 What you do?
49110,Food is not free 🤣🤣🤣,Eat .
49111,Hnn🥺,Tum hi so
49112,Itne pese nhi h abhi mrpe😒 saare beer me chle gye🥺,Delivery kardo
49113,Q,Bhai wrong place
49114,👀,GreatI also
49115,India,Wr u from
49116,Contact number sharing nhi ho payega,Kya hai wo
49117,State?,Near by me
49118,Hn🥲,Teri age 17 h
49119,Yes,Very good country
49120,"Будь ласка, д..м, це буде весело",іди нахуй
49121,Wwwttttffffff😂,Yea.  ..😂😭😭..U r my father
49122,Lol yess 🤣 now tell me wht you are ?,Ohh but i didn't clarified yet
49123,What do you want to know??😂,Uff still You never said abt you 🥲
49124,😂😂mera matlb koshish kri bol paoge,Dheere dheere... Pr ye name toh n se hai
49125,Hyderabad,"Mumbai, BANDRA WEST and u"
49126,Hn,😂okay.. U r indian 😂😂
49127,Achaa okay idk 🥺🥺,"😒 Nazriya Nazim-Malayalam Tamil,actressPatha nahi kyaTum kitni baar wo gif share kiya😒😔😳"
49128,Hi,Hii near😅
49129,😂,And outside patel Nagar? 😂
49130,Pehle?,abhi toh koi ni
49131,Thank you 😊,Cute in saree
49132,Someone,For which
49133,Fr kya puchu🤔,kya vro aise swaal puchega ?
49134,"If you want me to do something, how you ask is important.",😂😂Oh nice But how
49135,😩,Yup.. hope so .
49136,So what uncle,I'm not a bro
49137,That's wrong.. it obviously can but short-term one.. I am considering everyone in my picture..You might just be focusing on BPL people..,Money can buy happiness in reality 😇😇 otherwise without money you will suffering
49138,"Kyoki yeh fact hai, bahut sare player performance nhi kiya jaise bowler",Haan bhai 🥺🤣
49139,HAHAHAAAHAHA,KADIEU SIA BELEGUG
49140,Wat but,I did a mistake
49141,talk on phone,I have an emergency Please Inbox or here?
49142,Samjhi nhi🤔🤔🤔🤔,Kyu nhi hogi Jab Apne hi log sath nhi denge to
49143,I am good thank you brakfast?,"Im ok, hby?"
49144,Kon sa bot,Calsi bot chutti par hai
49145,How are you???,Hi vro
49146,U ko bhi sorry🙏🙏🙏bye,Wahi sunne se to kon hi rookega
49147,Friendship krni h ussse 🤣,Wo kahase hau
49148,U love ??,I love
49149,What I just hate romance it not meant that I'm a boy🤷‍♀️,Bcz u r boy
49150,Bhag jaa 🥺,Oii darlu
49151,Acha....mai to un purane logo se baat kr k bore ho gyi😂,"No no actual me agar ap kisi Rendon person se baat kro Gaye to sirf hello hi , what are you doing, where are you from wale questions hi reh jaate ha to bore ho gya"
49152,So.. what are you ? ;),"My bad, dark chocolate 😂"
49153,bcom😐😂,B.tech you?
49154,Ask,P one doubt
49155,I am blocked yrr,Hey... d..m
49156,Can't I send long wishes?🥺😂😂,Too long good 😂Looks like kinda excited for something? 🤨
49157,Mrja chullu bhr paani me🤣🤣,Muje lajja atti heh🙈🙈🙈
49158,Good do you know BHU,Varanasi know
49159,Seriously why u like most,🤤 👈
49160,Ha sure,"Can you explain me, if want to explain only"
49161,Ni,Bolu kya apni bat Ya
49162,kya krte ho bro..😅🤘,Fine 😂👀
49163,I told ya a lot of times dude,Ohh Yaa.... Did you get a therapist...
49164,Link de du?? 🤣,Aye guddiya tussi na dasso ...ki KiddA?
49165,Hum bhi,Padhaai tum btao
49166,Kuch nahi Tum batao,Or kya chal raha hai?
49167,I know you will be surprised :-),Wow..😃😃That might stress you...the chats are too much
49168,😂😂,Mcht drm🤣🤣
49169,I am good thank you😊😊,Fine what about u ?
49170,OK but ap to mere baju wali Ho n,Ha pr anjan logo k sath majak nhi Karna Chahiye nhi to ban Kar dete h
49171,So bad😐,"I am fine, how's ur day?"
49172,Ok..kya krte ho aap... study or  jobb??,Sahi he ese hie
49173,Gud,ヾ(＾-＾)ノ  hey hru
49174,Ab bank m ch sb bhyr Val sab bag gi,ab katu bach ri?
49175,May i know where are you from??,Hey sir
49176,engineering,It hoga
49177,Idk and idc why,why this sadness does not have any end ?
49178,Sun aukat pe reh agar himmat hai toh normal chat pe bolo saley despo kahinka tum log ke wajah se ladkiya safe nahi hai samjha paapi,To jaa naa.. dhund tera aaj Ka Naya koi..
49179,Sis lmao,Hot chat interested sis msgg me
49180,Lol,I decided 😚🥰🥰
49181,He is!,😂btw yash is back... 😂
49182,Har.m,Hii londiya
49183,Very good morning🥳🥳🥳,𝐆𝐨𝐨𝐝 𝐦𝐨𝐫𝐧𝐢𝐧𝐠𝐥𝐮✨🥳
49184,🥺🥺 life me sb drama hi to h... Kaaa,Drama ho gyaa tumhara🥺
49185,Tawadm korin,Qarap korci
49186,Mejik,How this👀
49187,Mp,Me bhi acha hu kaha se ho app
49188,Student 🙂,Student hai ya job krti hai aap?
49189,Petrol suungh lia kyaa😶,Patjhad ki Hun Mein chhaya Mein aansuon kar darpan 😩
49190,Следующий?,Nikem artham aayindi
49191,Be single,Kon bana de rha hai😂
49192,Ohhhhhh,Mtlb Pagal
49193,bhai make money 🤣🤣,Wah Bhai
49194,Aur book wale,Bolo 😂
49195,Why not?,"Nope, show me what all can u do🙄🙄"
49196,Kya,Or didi aao
49197,What ?😒,game kese khelte
49198,Good Morning! ꧁𝓐𝓵𝓲𝓼𝓱𝓪꧂,good morning didi😍
49199,:),Im beautiful
49200,Tell,Me also
49201,Hm,Yup 👀
49202,Enjoying some lyrics,Seeking attention
49203,Admin bnado,u are very active here its nice to see you chatting
49204,Bye,Bye gnn
49205,Mere bhi toh 10th ke cancel hi hue hai🤣🤣🤣🤣🤣,😂😂Aji ...abhi pta chlwga kese result declare krenge
49206,Slam bradar😂inja nmishe be zbon shirin farsi bahat harf zad?,Salam haji
49207,Dwarka ke pass he npsc society,Mein bhi delhi mein kha se ho ?
49208,Ok what you’re doing,"No, I ain't."
49209,@bossnup,Haann!!  Niraj aap meko free kr do
49210,"I'm trying to say whatever you don't wants to understand, and i cant help you in that. May god give you silence and peace",Can u explain me what are u trying to say
49211,Hmm.. lockdown me jaise svi hai wese,Aur batao kaise ho
49212,Kaha ???,Mai to Buddha ke Pas se hu
49213,Hlo,ha bhao
49214,Ahan nice manpreet ji,Sri Manpreet Ji Kaur
49215,No..,"I'm an Arab, do you slap Arabic?"
49216,Ugh! Plz,I M book
49217,Ok,I hear  first time
49218,A whole human being... And that's me☹️,What I have ignored🥲
49219,Na na..😂,Do now
49220,Don't flirt again,aapko apne dil de du 😏😏😏😏😏
49221,😂😂,Mujhe to aate hi mil gaye bht se
49222,WHEN WE ANKII ? 🥲,"You are welcome☺️☺️,when did you guys get married?🥳"
49223,ya thanks,India look so cute😅
49224,Do you had bf before?,Bcz I didn't find my true love yet
49225,Oky....leave it....np,I've said this many a times😒
49226,Sab Me hota per na be careful yah koi sahi na h 🥺🥺,Attitude nhi psnd aata mujhe
49227,Hmm 😥😥😥,Thik hai by🥴🥴
49228,Lol,Are...Wah..Ghr me rhti ho.. Mujhe lga. 😂 Mahel me rhti hogi.
49229,Me too😅,Why are you asking?
49230,Abhi uthi,Ab uthi h... Ya raat se online h
49231,Ok,Plzz just for 2 min I u feel good then ok another way u can leave plzz🙂💔
49232,Mahshid 3 sale from Isfahan 😂,Who walks around in the middle of the night?😂
49233,Yeah and you,Ooh really
49234,What's your favorite movie?,Kau jg bct
49235,U too,Anyways welcome here. Enjoy
49236,😂😂😂🤣🤣🤣🤣,Woow pyar jatane ka naya tarika😂
49237,Short samja de yahi pe,Mujhe contact add Karo bhai samjata hu apko
49238,O really! 🤣🤣🤣🤣,Yupp he made me admin cuz I'm wise n old🤣🤣
49239,Aaagyee😅,Let's fight😈🤣🤣🤣
49240,Yeah jindagi ka taste khatta meetha lol😂,Good bas what is that
49241,Why,i wnt to listen ur voice.. itz possible or not
49242,Good morning 💓,Good Morning! Nidhi
49243,No,Please reply I will tell you there
49244,hlo pntk🤭,hellohk prenn
49245,Yess🥲,Really ? 😢
49246,🤣😂 puch lete toh acha hota,isliye nhi pucha maine😂
49247,Aww,Aap to mere dil me rahati ho🙈🙈
49248,not now,"Next, do you want me to tell you a joke?"
49249,arre yarr aao koi to bhi,text karo paisa hi paisa dungaa
49250,be lum me ne mu kan yg benr2 ganss :v everything fake gam bar :v,Kan 😭
49251,"This is what she told me.. I wasn't available..So, I am listening both of you",I talk to my frds only So does it making any sense ?
49252,Jammu kashmir,Kaha se ho up bihar delhi
49253,Oh,Just waiting
49254,напиши в лс я не могу не кому писать,Ок давай
49255,No say mam🥺,Kya bolu 😂😂kesi ho
49256,How's you?,Hie gm
49257,Thankyou shivam,Krutika bhaut beautiful ho
49258,By have a nice day,"Ok bye, I'm done 😂😂"
49259,Mai ni soya,Nhi sab so gayle h re
49260,Admin khelte h ise😅😅,Kaise khelte hai ise
49261,Kya btaun,Aur batao
49262,Haa to kya sidha sadha ladka hun garib sa,🤣🤣. Garib..aap!!??🤣🤣
49263,"UMM , GOOD GOOD !!",Nopes..!! Ludhiana
49264,Hello 👋,Akele hi khyge😒
49265,"Well it's alright,that was a lil argument. Now it has been resolved. Thank you for your concern.",hows it going .. why all the arguments in the group is all solved now your a firey spirit
49266,Guten morgen,How to say good morning in German language
49267,What know,I wanna know🤷‍♂
49268,Noiii no thanks jiii,Friendship karugi tabi toh pta chalega
49269,उसके गुर्दे ना फोड़ दूं मै😂,Gali dega kya.. @MAHADEV_KI_GAURI 😂😂
49270,What's with Alisha from I & W wanting to be your friend?,i hope not... that one i had another run in with we blocked each other - too much ego
49271,Nahi bass puchna tha,Kyo kya hua yr
49272,Haaa wer r u from,Ji broo
49273,Hmm,Are baba aisehi
49274,😩then who ?,Kandippa illa🤮🤮
49275,4 chamber hote hain 🙈,Mere heart m pehle hi koi aur h..sry 😂😂
49276,Tum Mayur ho ky..aaaa👀,Pizza date ka ky hua ?? Phir 🥺🥺😂🤘
49277,Yoooooo,Dark cobra
49278,Dost bnoge,what does he mean
49279,Student,Ooh aap student ho ya job??
49280,Bhaw chaiyae toh ek tareeka hai woh hamesha kaam krta hai,kya kare tum log to bhaw hi nahi dete to kare to kare kya jaye to jaye kaha
49281,10 th,Kon tya std la ahes
49282,фай шптр 😆санга охшаб хор боп бошкаёда ишлаб улар тлни органб юрганм йогу зато 😆,哦嫩阿弥不错😆 aqli zayf
49283,"Ohh, itnaa secrecy mere se 🥺🥺",Ji! This is one of the admin with diff ID
49284,Try once☺️I know you don't know what is going in your life😂😜,Im not a singer😂😂
49285,Wah kya baat bole h!,You cannot protect yourself from sadness without protecting yourself from happiness
49286,Yhi rahega fir 🧘‍♂,😒😒Mai greeb hu🥺
49287,Yes,Im from bombay as well
49288,Mai nahi rota I am strong boy🥺,Maine Kuch Bola to rone lag jaaoge
49289,Hmmm,Mann mera hota h
49290,Kya baat h☺️☺️🙈🙈,Ji aur barish me apse bat ho rhi ye bhi
49291,I have heard about it... but it bounced above my head 😁,Anyone hear about wormhole
49292,Good wbu,How are u 😊
49293,Shadi nhi hui apki🤔Parents to yhi honge na Raipur m sath me,Achha Ab kya kre akele h to Time pass Karne ke liye Kuch to Karna hi pdega n
49294,Lol,Restart krti huu
49295,hbd,Say advanced happy birthday to me
49296,Good whare are you from,I also in college
49297,lg ni rha,abbey majak tha 😂😂😂
49298,Muje nai pata yaar pu6a but nai bataya dibbu ne,Bro ye coin ka Kya fanda hai
49299,Ok,Leave bro abki bheje tb dekhte h
49300,Sorry I'm weak in Hindi let's talk in English😉,Arre 😂
49301,Ok,Areeyy chill bhai
49302,No just abt to have,yes and u
49303,Ohhhh they coming again again yaar,Wait I'll reply to my tags
49304,Ok,Ok but don't do that again
49305,Hello r a n d i,Hi b i t c h
49306,Ptani 😆😆Dekha nhi kaafi samye se,Teri patni khn h aj
49307,Ha 😂 easy h pr log samaj te nhi.. uhi bet laga dete h,Bro ek victory k baad turant jyda coin laga dene ka😁
49308,🥺🥺 ok,Ab dusra emoji🥺
49309,Naa,Tumhe nhi psnd 🌝
49310,Phle to bhai bolna bnd kro tm 1 ni 50 id bnao mjhe kya,Ohh bhai tumko kya dikkt hau meri idse
49311,Kux community naam ka hota h Wo bhi build krdena,Are vo to pta h mne 20 se zyada bnadiye pr citizens ni bdhre
49312,She koi,He koi
49313,What language is it?,Hey am Kabir not om
49314,Kill zombie,☠️kill ppl
49315,Ok thnx,cant it gets deleted every hour also
49316,Pooch q rahe hu fer🤣🤣🤣🤣🤣,Ptana kon chahta hai 😂😂😂
49317,Hmm,Ha h nhi waha k ekto sbse khrb chadigarh wale bolte h
49318,😍😍,Bcoz of your profile 😅😅
49319,Anyway . I am not from biology background .,"You ask na , am challanging you from whole biology"
49320,I just do,Yeah how do u know this😁
49321,@Mayur_OP hugs @AKSHIT_OP.,Tu game me infected hai?
49322,Sachii Mene socha bhul gayi h,I k
49323,Yaar kitna funny pack hai yeah🤣🤣🤣🤣🤣🤣🤣🤣,😂😂 Lol sticker pack
49324,"Haan sahi m paglo ka kaun pdega, jo maha pgl hote wo bahut jaldi pdte h😝😝😝😝",Paglo ka Kaun padhega
49325,Up mei kha?,Thanks broo
49326,Ok let's go on Instagram,Hm yes
49327,😂😂😂😂,Mujhe bhi nhi pta😂
49328,😂😂😂😂 acha bulava karu kider muje kya  pata tu kaha rehgii 🤣🤣,Tera bulawa jab ayega😁😁🥲🥲
49329,Q 🥲🥲,Mne pdh lia bht 😝
49330,Hoi,Bolo bhi yr
49331,Yeah bro,She is too intelligent
49332,Hehehe,This one
49333,what?,HiSend pV
49334,Exactly,Ohh no prblm nita it's all ok.I know stranger se kaise bta skti ho
49335,Lah,X nk kene kacau ngan om india
49336,"Well,yeah technically when I'm stressed😂😂😂",A single teardrop falling from your eye
49337,Ni ni aap jao ...vese bhi meri shaktiyan abhi kam hogyi hain🤣🤣,Am serious 🤣🤣
49338,me too😅,My from Gujarat
49339,I am good but why are you bad,I am not so bad
49340,School,What does you do? College school or job?
49341,Iyap,oh jgja
49342,Yes PlZ,aao kya vc par
49343,+_+ noi,Neend nhi aa rhi ?-
49344,Late 90s 80s nhi sunte ?,Ohhh kabhi suni nahi
49345,U don't have hands?,Dakkan kholke dena
49346,12pass out,Ure class
49347,Sorry Yes  she is for me😌🐣,It no she😒😒
49348,Same for all,Media not allowed 😂 for me
49349,Hyy,Introduce me from Indonesia
49350,I'm 😂,Hahaha u r smart u can understand 😂
49351,no,Time to restart VC 😈😈😈😈😂😂😂😂😂😂😂😂😂😂😂
49352,Achha gKha se ho ap didi,Khi nhi use byee bola ree
49353,With what?,I'm okay with that 😂😂
49354,Warn mat diyo🥲,Mentos ka promotion kahe kr rhe ho🥲
49355,Okay don't talk wid me,"Tum kuch bolte nhi ho , that's ok , but at least kuch pucho to shi, nhi to bat karne ka kya faida"
49356,Ghana CHOKHA,हाहा भाई के हॉल है
49357,And you👀,Bahut chotu
49358,Thnk u,And your also
49359,So,Hum Muslimo me sab chalta Aaj bhai Kal bhaijaan😗
49360,Mera hi hai,Vahi laga muze tera kaise bf hoga😒🤣
49361,Mai kha bigda hu🥲,Jab tu sudharega
49362,"ur not my daddy, get out ..",yes baby?
49363,Tym alag se bnao,😂😂😂😂😂na na itna tym n
49364,Thik hun,Aap kaise Ho??
49365,Mamnoon manam khubam 😌What are you doing?,Merc mamnoon ali☺️what about you
49366,Nhi I don't have bf sir,Busy ho bf se bat Kar rahi ho karo😂🤣
49367,🤷‍♀🤷‍♀okay,Wanna talk in english
49368,Good,Achha Mt batao fir Main. AA rha hu
49369,Loha ka scale se Napa ya plastic?,Ale baple
49370,Id de kal khelte hai,Abhi nhi🥲
49371,Oky,Bahi ban hata do please 🥺
49372,G,Hey nida
49373,Hmm or kuch kaam ni h kya kare Subh subh teri ladai sun le,Go on yahi kaam reh gya🤷‍♀🤷‍♀🤷‍♀
49374,Yes n u,Are you boy
49375,Pahle wahi nahi samajh aya dear,tum batao? what is that in english? ( nih watasi true gak ya)
49376,Kuch to sona hoga,Mere pas futi kodi bhi nahi hai🥺
49377,Pata nhi,Sahi to hai hamari dosti thodi doot hogi par acchi hogi
49378,Ok what is u r name,Nothing free🥲
49379,Bolo,Hello bhai koi to sunlo
49380,"Ingin mengganggu om""🤓🙏🏻",Ce pat se ka li an da ma suk
49381,Whats ur name,I'm also and i work in uppcl je
49382,Kyu doc. Thode hu,Ha tum injection laga doge 😢😢😢😝😝
49383,Hehehe,Chhota Don!
49384,Kaise ho,Kuch nhi bathe h
49385,Nahi,Unban ni hua?
49386,No need,Prsnl pr ao
49387,kal aana kkk aake muje yaad karne😂😂😂,Bss asa hi.... 🙂🙂🙂🙂
49388,Nahi achaa lgta hai ye,Chnge krle isko to ab
49389,Yeah,After effect baraye tasvir saziye mohareko ina?😐
49390,khayi bhi hai,Kisi ne Loki dekhi kya?
49391,Hn u,Dinner kar liya aapne
49392,Ha ek h,Itni rat ko
49393,Ik😂,bot hai vo
49394,Nothing,What happened babe?
49395,Hm smjh gya,Khi or
49396,Fir kaise🤨🤨🤨Delhi aana padega kyaa👀,aise  nahi
49397,Good...U look so gorgeous and preety 😍😍❤️,Happy to hear that. I'm from Assam
49398,I am a student,U stu or working?
49399,ok,Just bored
49400,😜 chal fir Somwar nu mil de aa,Punjabi wala Monday😁
49401,Ok I'm student,I am financial maneger
49402,By your airplain,Lets fly 😂
49403,Toh kya ye sab dekh ke ab pasand nhi kar rahe kya sab bahana hai apka bhi woh kissi bhi hai apke liye acchi hai,Sach me yrr
49404,Nope,Mseg send only your contact and mutual frends. Show me this interface
49405,Long time ago 😂,When did i dmmm
49406,Yes,oh do u have youtube channel?
49407,Yes...i told know,Tell me I am waiting
49408,Acha🥲,Abeyyyy😂🤦🏻‍♀ tujhe baat pata nahi?
49409,Leta hu didi,Aae bhai Chup baith Abhi
49410,Ye to galt h,Wese usme girls k names b...so mere liye wese hi option nhi
49411,Ha ha jaise mujhe ho gya 😂,Kya kare sangat ki solid asar aa rahi hai😂
49412,Okay bye zeenat.,Bye I'll be back when they r gone n I've my privacy back... 🤦‍♀️🤦‍♀️
49413,Ha,Any one from Hyderabad?..........
49414,Aap yahan,Good night dosto😊🙌
49415,Ohh I know English and Telugu🤷‍♂😉😂,English nd hindi
49416,😂😂 Sach m... Bacche h... Akal se wo bhi,🤣🤣🤣gajjab bejjjati
49417,In India🥺,"Someday you were in WB, someday in PB, lastly it was Mp, so where are you now?"
49418,Sure,Wait let me tag u there
49419,kyu tumare mai nasha hai kya koi  jo muje pagal bna doge 😏😏😏😏,Thik h bacche agar tum apne shaher mein safe feel krte ho toh thik h mein tumhare shaher mein jaake tumhe pagal bana dungi😉😉
49420,First thing first,Bht zor se susu or flirt aara
49421,means,kaisi so
49422,Hmm pta hai,Dusri id hai🥺
49423,ok good,Central and South Asia
49424,Pata nahi pichle janam me aap mere bhai ho,Aapke baat karne ke tunning se aisa q lag raha he me aapko bohot saalo se jaanta hu
49425,No.. mujhe chahiye bhi nhi 🤣,🥺🥺very sad.. Sabr kro🤲🏻
49426,Hy,Hy xelyn
49427,"what😭😭😍👍 , let's try",Set your crush’s picture as your dp.
49428,Na na 38 kg weight h sakshi to ja chuki Sukadiya bhachi h koi,Sakshi ok
49429,Hi,Hiii neha
49430,Kya dikkat hai alki usme 🤔,Har baar pic change
49431,Whatsup,Waddaup Ka mtlb kya hota he ?
49432,Sakshi se bola tha,Bola kyu ni tune kisi se
49433,Jab h naam,Same to you ye loading kitne din chalega ?
49434,Ni yaar baat kro to sahi,Good Night! ꧁ ༺✯卂ϻคᏁ࿐ཽ༵༵༻꧂
49435,Kya huaa,Pagl ho kya
49436,No,Do u like cricket
49437,Same here,Nice to see you
49438,Other state,Where are you from vro
49439,Thanku thanku🥺🥺,Bakwas nhi ok
49440,Naa bhai ho gaya vishwas😂,Vishwas nahi hota to usi se puch le
49441,I don't have pubg,And what about PUBG
49442,It's something earthly!!😁😁😁,Who is that Rubina?
49443,Thanku so much 😀,U look very smart
49444,gyaan kaunsa gyaan,"Nhi bahut busy nhi hu yese hi, vc me gyan chl rha hai sunno"
49445,Your from,I'm good thanks
49446,Accha to khi aur milna chahti ho kaya,Bye anurag
49447,De na to maine kya,Tujhe dena hi chaiyee.
49448,Vo mene imagine krli 😶,Hasi kaha nazr aarahi😶😶
49449,Mean!!,Are you Near?
49450,Are phir guess kaise kiya,Nhi nhi.. 😅
49451,Jhuthi Mere jitna ni !!,🤪 time killings
49452,Thanks.,😊😊 you are sweet
49453,U did affair 😪😪,Lol after did affair
49454,Kya hua??,Aisa kyu krte hn log
49455,But how.......🤷‍♀,Make him mad from your side Do the opposite .!!
49456,Akele😂,Kiskey saath😁🤨😂
49457,Is there means a d d me,Neberrr🤣 none from here at least
49458,😳,👰🏻 🐦🐦sunohit ‌ٖٖٖٖٖٖٜٖٖٖٖٖٖٜٖٖٖٖٖٖٜٖٖٖٖٖٖٜٖٖٖٖٖٖٜٖٖٖٖٖٖٜٖٖٖٖٖ‌ٖٖٖٖٖ accepted ♩♪♫ 𝐑ⓘⓢｈ𝐀𝔟𝐇 ♫♪♩ as his husband!
49459,Ohh ok ok,🤣🤣🤣 wo heart emoji h...
49460,@admin iski wish puri ki jaaye,Admin mai gali de rah block me
49461,Wait this is java language:v,Mungkin. Ora yakin. Dakkandhani babagan ide kasebut. Ngendi iku?
49462,Wasting time🤭😂,So what are you doing in your life 😉
49463,no i am not,Good. U marathi?
49464,Hnm,Acah 👍
49465,Me too,😐😐😐nice to meet you
49466,What is the matter?,Can we talk just a minute?
49467,Lol🙄,Apke age sab fikhe h🙃
49468,Yes,Did I bother u?
49469,No I am doing job n you😊😊,Ook am disturbing you
49470,🤔🤔when,Have faith and hope relying on you! But you were kissing another guy!
49471,Fyn,Good what about u
49472,Me ni bachta kisi se 🤣🤣,Jisko tag kiya tha
49473,My😎,Guys  who's birthday today
49474,K k anyways thanx for your concern,I'm least interested in that game😒
49475,Nope,dil is desi heart is euro
49476,Mera husband aur kaun,Kaun aarha hai karib
49477,😐🗡,hi ... u gud
49478,Abi mne tax m 1 kia to 0 horkhi vrna to minus m the,Ptani 😂😂
49479,Yaa I am good,Good too n what about you
49480,What is the matter,Txt me I wanna discuss uh something
49481,Noice,Ek dam perfect💜
49482,Hello ji,abhi ni
49483,how's u buddy..🤘🤘,Good morning 😊😊😊😊
49484,Fewer,A week ago ?
49485,18... Yours??,Whats yur age
49486,Eshgh mani😂❤,Dashagheto ghorbon dash😐
49487,It started to rain. Just now,Ha yaha mast barish huii h aaj toh thanda mausam h aap ke yaha kaisa mausam h
49488,Yhi bolo...,Pmmmm aa
49489,Jee,sane to u
49490,"No , never",LET US BE AS ONE
49491,Then,Ap ni
49492,Gbut,Lu ngapa dah bang😭
49493,Tnx a lot,"Cool , how old you are🌚"
49494,Oh.. Charge kr lo,Phone discharge hone wala h
49495,Abhi hotel me hu..Bhai aur bade papa yehi hai..Varna abhi kar leta❤️,haaan re babaa
